"name","nb_groupes"
ancient/new beliefs,1
ska punk,1
skank,1
skepticism,1
skinhead reggae,1
slayer,1
sleaze rock,1
analogic,1
ambient pop,1
sludgecore,1
society,1
soft rock,1
wilderness,1
sorcery,1
will,1
ambient noise wall,1
soul jazz,1
soundscape,1
ambient music,1
southern,1
southern rock,1
winter,1
space age pop,1
space jungle,1
space music.,1
ambient black metal,1
spacerock,1
spain,1
spanish,1
speed,1
"2000s",1
spiritual triumph over evil,1
ambiant,1
spoken word,1
stalactite,1
amarillo,1
stoner doom,1
alternatif,1
stoner pop,1
alt-rock,1
stonerrock,1
straitjacket,1
strasbourg,1
alt rock,1
submisson,1
alcoholism,1
alchemy,1
supersonic pop,1
surf,1
destruction,1
devil worship,1
disasters,1
disco,1
disease,1
despondency,1
surf rock,1
"00s",1
dj,1
djent,1
domination,1
desolation,1
density of immateriality,1
doom stoner,1
doomgaze,1
doomsday,1
deep psychedelia,1
dream,1
aissaoui,1
symphonic black death metal,1
deep progressive,1
agony,1
drum & bass,1
deathgrind,1
drum n bass,1
deathcore,1
afrosoul,1
dungeon synth,1
dunkirk,1
afrorock,1
early reggae,1
easy listening,1
easycore,1
ebm,1
eclectic prog,1
synth,1
darktechno,1
electro french,1
electro hip-hop,1
world music,1
synth wave,1
dark techno,1
electro swing,1
electro wave,1
electro-disco,1
electro-dub,1
electro-pop-rock,1
afrobeat,1
dark side of human mind,1
electronic music,1
dark pop,1
electronic surf music,1
dark metal,1
dark medieval,1
synthesizer,1
electrotango,1
elevator music,1
emptiness,1
end of life,1
end of mankind,1
energetic,1
english,1
enhancer,1
epic,1
dark folk,1
era,1
erreur 404,1
eschatology,1
esoteric,1
esoterica,1
dancehall,1
ethio-jazz,1
ethnic,1
ethnic electronica,1
europe,1
dance-punk,1
european pride,1
