"id","nom_groupe","tags","localisation","localisation_type","begin_date_year","type"
56309,Yves Duteil,"singer-songwriter, french, chanson française",Neuilly-sur-Seine,3,1949,1
56408,Émilie Simon,"female, pop, french, france, francophone, français, electronica, composer, lyricist, arranger, trip hop, parolier, compositeur, arrangeur",Montpellier,3,1978,1
57449,Eiffel,"french, rock",Paris,3,1998,2
57858,Antoine Clamaran,"disco house, jackin house, house, french house",Neuilly-sur-Seine,3,1964,1
57920,Laurent Gerra,"french, humorist",Bourg-en-Bresse,3,1967,1
58247,Carla Bruni,"folk, french, carla bruni",Torino,3,1967,1
58278,Gilles Servat,breton,Tarbes,3,1945,1
58337,Alexis HK,chanson française,Versailles,3,1974,1
58343,High Tone,"dub, french, lyon, novo dub",Lyon,3,1997,2
58355,Anne Ducros,"jazz, french",Longfossé,3,1959,1
58361,Baptiste Trotignon,jazz,Meulan-en-Yvelines,3,1974,1
58371,François Chaplin,"pianist, french pianist",Paris,3,,1
58373,François-Frédéric Guy,"classical, pianist, french pianist",Vernon,3,1969,1
59945,Stéphane Pompougnac,lounge,Paris,3,1968,1
60474,Michel Sardou,"pop, 70s, french singer, todo-works, pop male singer-songwriter, a des annés d ici, best, french pop, chanson française, singer-songwriter, french",Paris,3,1947,1
60578,The Supermen Lovers,pop and chart,Paris,3,1975,1
60729,Clearlight,symphonic prog,Paris,3,1973,2
61307,Christian Vander,"post-bop, jazz, zeuhl",Nogent-sur-Marne,3,1948,1
61551,Les Innocents,"chanson, rock, french pop, pop",Paris,3,1982,2
61745,Isabelle Antena,"sophisti-pop, contemporary jazz, jazz pop, vocal jazz",Villepinte,3,1960,1
62843,Vincent Delerm,"french, todo-works",Évreux,3,1976,1
63052,Kim,rock,Cannes,3,1977,1
63321,Jean‐Yves Thibaudet,"classical, jazz, pianist, french pianist",Lyon,3,1961,1
66402,Faudel,"pop raï, arabic, raï",Mantes-la-Jolie,3,1978,1
67032,François Bayle,"european, french",Toamasina,2,1932,1
67210,Vitalic,"electroclash, french, french electro, house, france, francophone, français, techno, electronica, synth-pop, electronic, progressive house, dance and electronica, french house, electro house",Dijon,3,1976,1
67615,Antaeus,"war, self-mutilation, black metal, satanism, hate",Maisons-Laffitte,3,1993,2
69515,Danielle Licari,"contemporary classical, pop, musical, soprano",Boulogne-sur-Mer,3,1943,1
69925,Isabelle Huppert,french,Paris,3,1953,1
69930,Catherine Deneuve,french,Paris,3,1943,1
70305,Cheb Tarik,arabic,Algeria,1,,1
70562,Mathieu Boogaerts,"pop, singer-songwriter",Fontenay-sous-Bois,3,1970,1
70602,Talamasca,"electronic, psychedelic, psytrance",Paris,3,,1
70991,Silvain Vanot,rock,Rouen,3,1963,1
71237,X-Ray Pop,"france, synth pop",Tours,3,,2
71477,Sofia Mestari,pop,Casablanca-Settat,2,1980,1
71704,La Grande Sophie,"chanson, rock, pop",Thionville,3,1969,1
71996,Guesch Patti,pop,Paris,3,1946,1
73083,Pascal Comelade,"electronic, avantgarde, alternative rock, rock",Montpellier,3,1955,1
73570,Tryo,"reggae, reggae-pop, chanson alternative",Fresnes,3,1995,2
73985,Gnawa Diffusion,"hip-hop, reggae, rock, gnawa, chaâbi, punk, arabic, aissaoui, raï",Grenoble,3,1992,2
74217,Jenifer,"pop, french, star academy",Nice,3,1982,1
75316,Lo’Jo,world,Angers,3,1982,2
76337,Lorie,"french, pop",Le Plessis-Bouchard,3,1982,1
77147,Calc,"lo-fi, rock, pop",Bordeaux,3,1997,2
77155,Mlada Fronta,"techno, electro, electronica, idm",Cannes,3,1992,2
77161,M83,"ambient music, synth-pop, score, indie rock, france, dream pop, space rock, electronic music, electronic, soundtrack, post-rock, synthpop, dance and electronica, shoegaze, ambient, synthwave, french, indietronica, synth pop, post-punk, film score",Antibes,3,2001,2
77165,Tahiti 80,"french, electronic, downtempo, synthpop",Rouen,3,1993,2
77180,Katerine,"singer-songwriter, pop",Thouars,3,1968,1
78770,Souad Massi,"world, arabic music, singer/songwriter",Algiers,3,1972,1
78885,Black Bomb A,"punk, hardcore, metal, metalcore",Viroflay,3,1995,2
80431,Patrick Rondat,rock,Paris,3,1960,1
80910,Le 3ème Œil,"hip hop, french",Marseille,3,,2
81408,EZ3kiel,"electronic, electro-dub, dub, rock",La Riche,3,1994,2
81438,Jean‐Philippe Viret,"jazz, post-bop",Saint-Quentin,3,1959,1
82304,Bibie,french,Accra,3,1957,1
82311,Corinne Hermès,"eurovision, french",Lagny-sur-Marne,3,1961,1
82318,Herbert Léonard,chanson française,Strasbourg,3,1945,1
