idINSPIRE,part_surface_pietonne,part_vegetation,ratio_hl_bati_rues,part_routes_lentes,part_routes_inaccessibles_vl,part_parcs,marche_ratio_emplois,marche_ratio_services_dom_moyenne,part_surface_cyclable,part_normalise_surface_couverte_stations_velos,part_routes_interdites_pl,part_routes_pavees,pente_moyenne_absolue,part_normalise_couverte_stations_rep_velos,velos_ratio_emplois,velos_ratio_services_dom_moyenne,att_moy_semaine_bus,cout_horaire_bus,ratio_arrets_pr_bus,ratio_arrets_autopartage_bus,part_routes_bus,part_batie_autour_arrets_bus,att_moy_semaine_tram,cout_horaire_tram,ratio_arrets_pr_tram,ratio_arrets_autopartage_tram,part_routes_tram,part_batie_autour_arrets_tram,part_sens_unique,part_zfe,nb_feux_circulation,places_stationnement_par_habitant,cout_moyen_stationnement,bornes_ve_par_habitant,part_normalise_couverte_autopartage,autopartage_cout_rapport_revenu,part_routes_accessibles_vl,part_surface_geofencing_citiz,autopartage_ratio_emplois,autopartage_ratio_services_dom_moyenne,HSMI_global,HEMI,part_marche,part_velos,part_communs,part_vl,part_surface_bruit_53db,part_surface_transport,nb_accidents_circulation
CRS3035RES200mN2824200E4154600,45.73,84.19,-1.0,100.0,100.0,0.0,0.0,0.0,45.73,0.0,29.77,0.0,0.01,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.63,0
CRS3035RES200mN2824000E4154600,61.21,84.56,-1.0,100.0,100.0,0.0,0.0,0.0,61.21,0.0,32.19,0.0,0.04,0.0,0.008618748740959596,0.0030756293,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.33,0
CRS3035RES200mN2823800E4154600,17.16,84.19,-1.0,100.0,100.0,0.0,-1.0,-1.0,17.16,0.0,89.25,0.0,0.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.41,0.45,0
CRS3035RES200mN2823600E4154600,58.85,89.84,-1.0,100.0,100.0,0.0,0.0,0.0,58.85,0.0,18.16,0.0,0.17,0.0,0.008409402414987617,0.0017348343,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.76,4.31,0
CRS3035RES200mN2823400E4154600,87.02,78.2,-1.0,100.0,100.0,0.0,0.0,0.0,87.02,0.0,48.5,0.0,0.13,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7.38,0
CRS3035RES200mN2823200E4154600,44.86,82.72,-1.0,100.0,100.0,0.0,0.0,0.0,44.86,0.0,60.33,0.0,0.58,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.06,2.52,0
CRS3035RES200mN2823000E4154600,43.62,57.79,-1.0,100.0,100.0,0.0,0.0,0.0,43.62,0.0,0.0,63.89,0.12,0.0,0.0018920167951052458,0.0018650943,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,2.66,0
CRS3035RES200mN2822800E4154600,72.92,43.01,-1.0,62.86,7.37,0.0,0.0,0.0,72.92,0.0,0.0,28.91,0.02,0.0,0.0027373019603505956,0.0019301988,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,37.14,96.95,0,-1.0,0.0,-1.0,0.0,0.0002,92.63,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,9.51,0
CRS3035RES200mN2822600E4154600,0.3,77.85,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.3,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,0
CRS3035RES200mN2822400E4154600,13.24,67.97,-1.0,100.0,0.0,0.0,-1.0,-1.0,13.24,0.0,0.0,100.0,0.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.2,0.05,0
